,city,country,latitude,longitude,temperature,coastline,highest,EU
0,Aalborg,Denmark,57.03,9.92,7.52,yes,171,yes
1,Odense,Denmark,55.4,10.38,7.73,yes,171,yes
2,Aberdeen,United Kingdom,57.17,-2.08,8.1,yes,1344,yes
3,Belfast,United Kingdom,54.6,-5.96,8.48,yes,1344,yes
4,Birmingham,United Kingdom,52.47,-1.92,8.81,yes,1344,yes
5,Blackpool,United Kingdom,53.83,-3.05,9.15,yes,1344,yes
6,Bournemouth,United Kingdom,50.73,-1.9,9.97,yes,1344,yes
7,Bradford,United Kingdom,53.8,-1.75,8.39,yes,1344,yes
8,Cambridge,United Kingdom,52.2,0.12,9.25,yes,1344,yes
9,Dundee,United Kingdom,56.47,-3.0,6.4,yes,1344,yes
10,Edinburgh,United Kingdom,55.95,-3.22,7.43,yes,1344,yes
11,Exeter,United Kingdom,50.7,-3.53,10.14,yes,1344,yes
12,Glasgow,United Kingdom,55.87,-4.25,8.6,yes,1344,yes
13,Inverness,United Kingdom,57.47,-4.23,8.0,yes,1344,yes
14,Swansea,United Kingdom,51.63,-3.95,9.73,yes,1344,yes
15,Abisko,Sweden,63.35,18.83,0.2,yes,2104,yes
16,Göteborg,Sweden,57.75,12.0,5.76,yes,2104,yes
17,Kiruna,Sweden,67.85,20.22,-2.2,yes,2104,yes
18,Malmö,Sweden,55.58,13.03,7.33,yes,2104,yes
19,Stockholm,Sweden,59.35,18.1,6.26,yes,2104,yes
20,Uppsala,Sweden,59.86,17.64,4.17,yes,2104,yes
21,Adana,Turkey,36.99,35.32,18.67,yes,5137,no
22,Ankara,Turkey,39.93,32.86,9.86,yes,5137,no
23,Antalya,Turkey,36.89,30.7,11.88,yes,5137,no
24,Batman,Turkey,37.89,41.14,14.16,yes,5137,no
25,Bursa,Turkey,40.2,29.07,11.16,yes,5137,no
26,Denizli,Turkey,37.77,29.08,15.02,yes,5137,no
27,Edirne,Turkey,41.67,26.57,10.9,yes,5137,no
28,Erzincan,Turkey,39.75,39.49,8.67,yes,5137,no
29,Erzurum,Turkey,39.92,41.29,5.17,yes,5137,no
30,Eskisehir,Turkey,39.79,30.53,11.11,yes,5137,no
31,Gaziantep,Turkey,37.07,37.38,13.46,yes,5137,no
32,Istanbul,Turkey,41.1,29.01,13.2,yes,5137,no
33,Karaman,Turkey,37.18,33.22,10.41,yes,5137,no
34,Kayseri,Turkey,38.73,35.49,8.89,yes,5137,no
35,Malatya,Turkey,38.37,38.3,14.13,yes,5137,no
36,Manisa,Turkey,38.63,27.44,15.1,yes,5137,no
37,Ordu,Turkey,41.0,37.87,11.92,yes,5137,no
38,Samsun,Turkey,41.28,36.34,12.05,yes,5137,no
39,Siirt,Turkey,37.94,41.93,12.48,yes,5137,no
40,Sivas,Turkey,39.75,37.03,8.05,yes,5137,no
41,Tarsus,Turkey,36.92,34.88,11.21,yes,5137,no
42,Tekirdag,Turkey,40.99,27.51,13.02,yes,5137,no
43,Trabzon,Turkey,40.98,39.72,10.28,yes,5137,no
44,Zonguldak,Turkey,41.43,31.78,10.64,yes,5137,no
45,Albacete,Spain,39.0,-1.87,12.62,yes,3479,yes
46,Algeciras,Spain,36.13,-5.47,17.38,yes,3479,yes
47,Badajoz,Spain,38.88,-6.97,15.61,yes,3479,yes
48,Barcelona,Spain,41.38,2.18,15.78,yes,3479,yes
49,Bilbao,Spain,43.25,-2.93,11.41,yes,3479,yes
50,Burgos,Spain,42.35,-3.68,10.45,yes,3479,yes
51,Cartagena,Spain,37.6,-0.98,17.32,yes,3479,yes
